TeamPair,MeanActualScores,MeanPredictedScores,MeanAbsoluteError,MatchCount
Philadelphia 76ers (cyber) - Phoenix Suns (cyber),207.625,204.60931716456813,12.125,8.0
Philadelphia 76ers (cyber) - Sacramento Kings (cyber),206.33333333333334,207.245849069152,6.805094341016889,18.0
Phoenix Suns (cyber) - Boston Celtics (cyber),204.1818181818182,204.44107598313175,8.792776181051444,44.0
Phoenix Suns (cyber) - Cleveland Cavaliers (cyber),208.13636363636363,205.79949920587987,11.590909090909092,22.0
Phoenix Suns (cyber) - Denver Nuggets (cyber),211.5,209.89849988822937,9.063909111231029,22.0
Phoenix Suns (cyber) - Golden State Warriors (cyber),202.14705882352942,203.91135839852885,7.3614960937714935,34.0
Phoenix Suns (cyber) - Los Angeles Clippers (cyber),207.36363636363637,203.65895583111998,6.5475575006036415,11.0
Phoenix Suns (cyber) - Los Angeles Lakers (cyber),209.3846153846154,206.45157102913004,8.590582530245358,39.0
Phoenix Suns (cyber) - Memphis Grizzlies (cyber),196.2,200.96452322764114,11.050110839565852,15.0
Phoenix Suns (cyber) - Milwaukee Bucks (cyber),214.28947368421052,216.94355431227345,9.81578947368421,38.0
Phoenix Suns (cyber) - Minnesota Timberwolves (cyber),198.95454545454547,198.96074729711506,9.688955036888176,22.0
Phoenix Suns (cyber) - Philadelphia 76ers (cyber),204.8,204.19102677356486,9.097076787172217,25.0
Phoenix Suns (cyber) - Sacramento Kings (cyber),212.76666666666668,211.910894104075,8.439273726395,30.0
Sacramento Kings (cyber) - Boston Celtics (cyber),203.22222222222223,206.89371498937874,8.456253890069029,9.0
Sacramento Kings (cyber) - Cleveland Cavaliers (cyber),211.28571428571428,208.85562669460504,6.020624757913566,7.0
Sacramento Kings (cyber) - Denver Nuggets (cyber),216.0909090909091,214.09033205068644,7.545454545454546,22.0
Sacramento Kings (cyber) - Golden State Warriors (cyber),213.8235294117647,209.42705563335917,9.47121238626387,17.0
Sacramento Kings (cyber) - Los Angeles Clippers (cyber),204.83333333333334,205.60231484662043,10.606820989774697,30.0
Sacramento Kings (cyber) - Los Angeles Lakers (cyber),208.5,209.18893048199484,9.198155080332484,12.0
Sacramento Kings (cyber) - Memphis Grizzlies (cyber),208.30434782608697,205.87577844467847,9.113961207678605,23.0
Sacramento Kings (cyber) - Milwaukee Bucks (cyber),216.8108108108108,219.64642839988414,9.605501870229576,37.0
Sacramento Kings (cyber) - Minnesota Timberwolves (cyber),205.91666666666666,203.04867496172696,9.567108346091013,12.0
Sacramento Kings (cyber) - Philadelphia 76ers (cyber),208.04347826086956,207.48277928159533,8.674661770365418,23.0
Sacramento Kings (cyber) - Phoenix Suns (cyber),208.8181818181818,211.82336998881863,11.101531813099363,11.0
